Terminologie;;;;;;;;;;;;
Modèle OCDE;;;;;;Directive;;;;;Loi française;Définition
10.1;Fonds de pension;"Un Fonds de pension désigne :
(a) une Entité établie et gérée dans une juridiction dans le but exclusif ou quasi exclusif d'administrer ou de verser des prestations de retraite et des prestations annexes ou auxiliaires à des personnes physiques :
i. réglementée en tant que telle par cette juridiction ou l’une de ses subdivisions politiques ou collectivités locales ; ou
ii. dont les prestations sont garanties ou protégées d’une quelconque autre façon par les réglementations nationales et financées par un panier d’actifs détenus par l’intermédiaire d’un accord de fiducie ou de trust pour garantir le respect des engagements de pension correspondantes en cas d’insolvabilité du Groupe d’EMN ; et
(b) Une Entité de services de fonds de pension.";Pension fund;"Pension Fund means:
(a) an Entity that is established and operated in a jurisdiction exclusively or almost exclusively to administer or provide retirement benefits and ancillary or incidental benefits to individuals:
i. regulated as such by that jurisdiction or one of its political subdivisions or local authorities; or
ii. those benefits are secured or otherwise protected by national regulations and funded by a pool of assets held through a fiduciary arrangement or trustor to secure the fulfilment of the corresponding pension obligations against a case of insolvency of the MNE Group; and
(b) a Pension Services Entity.";3, 33;Fonds de pension;"a) Entité constituée et exploitée dans une juridiction exclusivement ou presque exclusivement dans le but d'administrer ou de verser des prestations de retraite et des prestations annexes ou auxiliaires à des personnes physiques lorsque :
i. cette entité est règlementée en tant que telle par cette juridiction ou par l’une de ses subdivisions politiques ou autorités locales ; ou
ii. ces prestations sont garanties ou protégées par des règlementations nationales et financées par un panier d’actifs détenus dans le cadre d’un accord de fiducie ou de trust, afin de garantir l’exécution des obligations correspondantes en matière de pensions en cas d’insolvabilité du groupe d’EMN et du groupe national de grande envergure ;
b) Entité de services de fonds de pension ;";Pension fund;"(a) an entity that is established and operated in a jurisdiction exclusively or almost exclusively to administer or provide retirement benefits and ancillary or incidental benefits to individuals where:
(i) that entity is regulated as such by that jurisdiction or one of its political subdivisions or local authorities; or
(ii) those benefits are secured or otherwise protected by national regulations and funded by a pool of assets held through a fiduciary arrangement or trustor to secure the fulfilment of the corresponding pension obligations against a case of insolvency of the MNE group and large-scale domestic group;
(b) a pension services entity;";223 VK, 25°;Fonds de pension;"a) Une entité constituée et gérée dans un État ou territoire exclusivement, ou presque exclusivement, dans le but d’administrer ou de verser à des personnes physiques des prestations de retraite et des prestations qui leur sont annexes ou accessoires, et qui remplit au moins l’une des conditions suivantes : 
i) Cette entité est réglementée en tant que telle par cet État ou territoire, ou par l’une de ses subdivisions politiques ou administratives ou l’une de ses autorités locales ; 
ii) Les prestations versées par l’entité sont garanties ou protégées par la réglementation de l’État ou territoire et financées par un ensemble d’actifs détenus dans le cadre d’une fiducie ou d’un accord similaire afin de garantir l’exécution des obligations correspondantes en matière de pensions ; 
b) Une entité de services de fonds de pension ;"
10.1;Fonds propres additionnels T1;Un instrument émis par une Entité constitutive conformément aux dispositions relatives à la réglementation prudentielle applicable au secteur bancaire, convertible en fonds propres ou faisant l’objet d’une dépréciation si un fait générateur prédéfini se produit, et qui présente d’autres caractéristiques conçues pour améliorer la capacité d’absorption des pertes en cas de crise financière.;Additional tier one capital;An instrument issued by a Constituent Entity pursuant to prudential regulatory requirements applicable to the banking sector that is convertible to equity or written down if a pre-specified trigger event occurs and that has other features which are designed to aid loss absorbency in the event of a financial crisis.;16, 11;Fonds propres additionnels T1;Tout montant comptabilisé en diminution des fonds propres d’une entité constitutive et imputable à des distributions payées ou à payer au titre d’un instrument émis par ladite entité constitutive en application des exigences  réglementaires prudentielles ;Additional tier one capital;Any amount that is recognised as a decrease in the equity of a constituent entity and is the result of distributions made or due in respect of an instrument issued by that constituent entity pursuant to prudential regulatory requirements ;223 VO septies, al. 1;Fonds propres additionels T1;Le montant comptabilisé en diminution des fonds propres d’une entité constitutive et imputable à des distributions payées ou à payer au titre d’un instrument émis par cette entité constitutive en application des règles prudentielles prévues par le règlement (UE) n° 575/2013 du Parlement européen et du Conseil du 26 juin 2013 concernant les exigences prudentielles applicables aux établissements de crédit et aux entreprises d’investissement et modifiant le règlement (UE) n° 648/2012, dénommés « fonds propres additionnels T1 », ou par la directive n° 2009/138/CE du Parlement européen et du Conseil du 25 novembre 2009 sur l’accès aux activités de l’assurance et de la réassurance et leur exercice complété par le règlement délégué (UE) 2015/35 de la Commission du 10 octobre 2014, dénommés « fonds propres restreints de niveau 1 », est traité comme une charge du résultat qualifié de l’entité constitutive.
10.1;Gains ou pertes de change asymétriques ;"Les Gains ou pertes de change asymétriques désignent les gains ou les pertes de change d’une entité dont la monnaie fonctionnelle comptable et la monnaie fonctionnelle fiscale sont différentes lorsque ces gains ou pertes sont :
(a) pris en compte dans le calcul du bénéfice ou de la perte imposable d’une Entité constitutive, et imputables aux fluctuations du taux de change entre sa monnaie fonctionnelle comptable et sa monnaie fonctionnelle fiscale ;
(b) pris en compte dans le calcul du Résultat net comptable d’une Entité constitutive, et imputables aux fluctuations du taux de change entre sa monnaie fonctionnelle fiscale et sa monnaie fonctionnelle comptable;
(c) pris en compte dans le calcul du Résultat net comptable d’une Entité constitutive, et imputables aux fluctuations du taux de change entre une troisième monnaie étrangère et sa monnaie fonctionnelle comptable; et
(d) attribuables aux fluctuations du taux de change entre une troisième monnaie étrangère et sa monnaie fonctionnelle fiscale, que ce gain ou cette perte de change soit ou non inclus dans le revenu imposable.";Asymmetric Foreign Currency Gains or Losses ;"Asymmetric Foreign Currency Gains or Losses means foreign currency gains or losses of an entity whose accounting and tax functional currencies are different and that are:
(a) included in the computation of a Constituent Entity’s taxable income or loss and attributable to fluctuations in the exchange rate between its accounting functional currency and its tax functional currency;
(b) included in the computation of a Constituent Entity’s Financial Accounting Net Income or Loss and attributable to fluctuations in the exchange rate between its tax functional currency and its accounting functional currency;
(c) included in the computation of a Constituent Entity’s Financial Accounting Net Income or Loss and attributable to fluctuations in the exchange rate between a third foreign currency and its accounting functional currency; and
(d) attributable to fluctuations in the exchange rate between a third foreign currency and its tax functional currency, whether or not such foreign currency gain or loss is included in taxable income.";16, 1, e);Gains ou pertes de change asymétriques;"Les gains ou les pertes de change d’une entité dont la monnaie fonctionnelle de comptabilité est différente de sa monnaie fonctionnelle fiscale et qui sont:
i) pris en compte dans le calcul du résultat imposable d’une entité constitutive, et imputables aux fluctuations du taux de change entre sa monnaie fonctionnelle de comptabilité et sa monnaie fonctionnelle fiscale;
ii) pris en compte dans le calcul du résultat net comptable d’une entité constitutive, et imputables aux fluctuations du taux de change entre sa monnaie fonctionnelle de comptabilité et sa monnaie fonctionnelle fiscale;
iii) pris en compte dans le calcul du résultat net comptable d’une entité constitutive, et imputables aux fluctuations du taux de change entre une monnaie étrangère d’un pays tiers et la monnaie fonctionnelle de comptabilité de l’entité constitutive; et
iv) imputables aux fluctuations du taux de change entre une monnaie étrangère d’un pays tiers et la monnaie fonctionnelle fiscale de l’entité constitutive, que ces gains ou pertes de change soient ou non inclus dans le revenu imposable.";Asymmetric foreign currency gain or loss;"A foreign currency gain or loss of an entity whose accounting and tax functional currencies are different and that is:
(i) included in the computation of the taxable income or loss of a constituent entity and that is attributable to fluctuations in the exchange rate between the accounting functional currency and the tax functional currency of the constituent entity;
(ii) included in the computation of the financial accounting net income or loss of a constituent entity and that is attributable to fluctuations in the exchange rate between the accounting functional currency and the tax functional currency of the constituent entity;
(iii) included in the computation of the financial accounting net income or loss of a constituent entity and that is attributable to fluctuations in the exchange rate between a third foreign currency and the accounting functional currency of the constituent entity; and
(iv) attributable to fluctuations in the exchange rate between a third foreign currency and the tax functional currency of the constituent entity, irrespective of whether such third foreign currency gain or loss is included in the taxable income; ";223 VO, 5°;Gains ou pertes de change asymétriques;"Les gains ou les pertes de change constatés par une entité constitutive dont la monnaie fonctionnelle utilisée en comptabilité et la monnaie fonctionnelle utilisée localement en fiscalité sont différentes, et qui sont : 
a) Pris en compte dans le calcul du résultat net comptable utilisé dans les états financiers ou du résultat fiscal local et imputables aux fluctuations de taux de change entre les monnaies fonctionnelles utilisées en comptabilité et en fiscalité ;
b) Pris en compte dans le calcul du résultat net comptable utilisé dans les états financiers d’une entité constitutive et imputables aux fluctuations du taux de change entre une monnaie étrangère et la monnaie fonctionnelle utilisée en comptabilité ; 
c) Ou imputables aux fluctuations du taux de change entre une monnaie étrangère et la monnaie fonctionnelle utilisée en fiscalité, que ces gains ou pertes de change soient ou non inclus dans le revenu fiscal local ; "
1.2.2;Groupe;"Un Groupe désigne un ensemble d’Entités liées entre elles du fait de la structure de détention ou de contrôle de sorte que les actifs, les passifs, les recettes, les dépenses et les flux de trésorerie de ces Entités :
(a)	sont inclus dans les États financiers consolidés de l’Entité mère ultime ; ou
(b)	sont exclus des États financiers consolidés de l’Entité mère ultime uniquement pour des raisons de taille ou de matérialité, ou parce que l’Entité est destinée à être vendue.

Un Groupe désigne également une Entité située dans une juridiction et qui possède un ou plusieurs Établissements stables situés dans d'autres juridictions, à condition que cette Entité ne fasse pas partie d’un autre Groupe décrit à l'article 1.2.2.";Group;"An MNE Group means any Group that includes at least one Entity or Permanent Establishment that is not located in the jurisdiction of the Ultimate Parent Entity.
A Group means a collection of Entities that are related through ownership or control such that the assets, liabilities, income, expenses and cash flows of those Entities:
(a) are included in the Consolidated Financial Statements of the Ultimate Parent Entity; or
(b) are excluded from the Consolidated Financial Statements of the Ultimate Parent Entity solely on size or materiality grounds, or on the grounds that the Entity is held for sale.

A Group also means an Entity that is located in one jurisdiction and has one or more Permanent Establishments located in other jurisdictions provided that the Entity is not a part of another Group described in Article 1.2.2.";3, 3;Groupe;"a) Ensemble d’entités liées entre elles du fait de la structure de détention ou de contrôle telle qu’elle est définie par la norme de comptabilité admissible pour l’établissement des états financiers consolidés par l’entité mère ultime, ce qui inclut toute entité qui aurait pu être exclue des états financiers consolidés de l’entité mère ultime uniquement en raison de sa petite taille, de son importance relative ou parce qu’elle est destinée à être vendue ; et
b) Entité qui dispose d’un ou de plusieurs établissements stables, pour autant qu'elle ne fasse pas partie d'un autre groupe visé au point a).";Group;"(a) a collection of entities which are related through ownership or control as defined by the acceptable financial accounting standard for the preparation of consolidated financial statements by the ultimate parent entity, including any entity that may have been excluded from the consolidated financial statements of the ultimate parent entity solely based on its small size, on materiality grounds or on the grounds that it is held for sale; or
(b) an entity that has one or more permanent establishments, provided that it is not part of another group as defined in point (a);
";223 VK, 26°;Groupe;"a) Un ensemble d’entités liées entre elles du fait de la structure de détention ou de contrôle telle que définie par la norme de comptabilité financière qualifiée utilisée pour l’établissement des états financiers consolidés par l’entité mère ultime, y compris les entités exclues des états financiers consolidés de l’entité mère ultime en raison de leur caractère non significatif ou parce qu’elles sont destinées à être vendues ;
b) Ou une entité qui dispose d’un ou de plusieurs établissements stables, sous réserve qu’elle ne fasse pas partie d’un autre groupe défini au a ; "
1.2.1;Groupe d’EMN;Un Groupe d’EMN désigne tout Groupe qui comprend au moins une Entité ou un Établissement stable qui n’est pas situé dans la juridiction de l’Entité mère ultime.;MNE Group;An MNE Group means any Group that includes at least one Entity or Permanent Establishment that is not located in the jurisdiction of the Ultimate Parent Entity.;3, 4;Groupe d’EMN;Tout groupe comprenant au moins une entité ou un établissement stable qui n'est pas situé dans la juridiction de l'entité mère ultime.;MNE Group;"Any group that includes at least one entity or permanent establishment which is not located in the jurisdiction of the ultimate parent entity;";223 VK, 27°;Groupe d’entreprises multinationales;"Groupe comprenant au moins une entité ou un établissement stable qui n’est pas situé dans l’État ou territoire de l’entité mère ultime ;"
N/A;N/A;[Ajout de la directive GloBE, absent du modèle];N/A;[Ajout de la directive GloBE, absent du modèle];3, 5;Groupe national de grande envergure;Tout groupe dont toutes les entités constitutives sont situées dans le même Etat membre.;Large-scale domestic group;"Any group of which all constituent entities are located in the same Member State;";223 VK, 28°;Groupe national;"Groupe dont toutes les entités constitutives sont situées en France ; "
10.1;Impôt complémentaire (IC);Un Impôt complémentaire désigne un impôt supplémentaire calculé pour une juridiction ou une Entité constitutive conformément à l’Article 5.2.;Top-up tax (TT);Top-up Tax means the top-up tax computed for the jurisdiction or Constituent Entity pursuant to Article 5.2.;3, 16;Impôt complémentaire (IC);Impôt supplémentaire calculé pour une juridiction ou une entité constitutive conformément à l’article 27.;Top-up tax (TT);"The top-up tax computed for a jurisdiction or a constituent entity pursuant to Article 27;";223 VK, 29°;Impôt complémentaire (IC);"Un impôt calculé pour un État ou territoire ou une entité constitutive en application de la sous-section 2 de la section IV ;"
10.1;Impôt complémentaire additionnel courant;Montant de l’impôt calculé en application de l’Article 5.4 ainsi que tout montant considéré comme tel aux termes du même article, tel que le montant déterminé aux termes de l’article 4.1.5 ou Article 7.3.;Additional current top-up tax;The amount of tax determined in Article 5.4 and any amount treated as Additional Current Top-up Tax determined under Article 5.4, such as the amount determined under Article 4.1.5 or Article 7.3.;29;Impôt complémentaire additionnel;[Non défini];Additional top-up tax;[Undefined];223 WC et s.;Impôt complémentaire additionnel;[Non défini]
4.2;Impôts concernés;"Les Impôts concernés désignent :
(a) les impôts inscrits dans les comptes sociaux d’une Entité constitutive et qui se rapportent à son revenu ou à ses bénéfices ou à sa part du revenu ou des bénéfices d’une Entité constitutive dans laquelle elle détient un titre de participation ;
(b) les impôts sur les bénéfices distribués, sur les bénéfices réputés distribués et sur les dépenses non commerciales, imposés selon un Régime éligible d’imposition des distributions ;
(c) les impôts perçus en lieu et place de l’impôt sur les bénéfices des sociétés généralement applicable ; et
(d) les impôts prélevés sur les bénéfices non distribués et les fonds propres, y compris les impôts assis sur de multiples éléments basés sur les bénéfices et les fonds propres.

Les Impôts concernés n’incluent aucun montant correspondant à :
(a) un Impôt complémentaire dû par une Entité mère au titre d’une RDIR qualifiée ;
(b) un  Impôt  complémentaire  dû  par  une  Entité  constitutive  au  titre  d’un  Impôt
complémentaire minimum qualifié prélevé localement ;
(c) des impôts relatifs à un ajustement effectué par une Entité constitutive en application d'une RPII qualifiée ;
(d) un Impôt imputé remboursable non qualifié ;
(e) des impôts acquittés par une société d’assurance au titre des revenus attribués aux assurés.";Covered taxes;"Covered Taxes means:
(a) Taxes recorded in the financial accounts of a Constituent Entity with respect to its income or profits or its share of the income or profits of a Constituent Entity in which it owns an Ownership Interest;
(b) Taxes on distributed profits, deemed profit distributions, and non-business expenses imposed under an Eligible Distribution Tax System;
(c) Taxes imposed in lieu of a generally applicable corporate income tax; and
(d) Taxes levied by reference to retained earnings and corporate equity, including a Tax on multiple components based on income and equity.

Covered Taxes does not include any amount of:
(a) Top-up Tax accrued by a Parent Entity under a Qualified IIR;
(b) Top-up Tax accrued by a Constituent Entity under a Qualified Domestic Minimum Top-Up Tax;
(c) Taxes attributable to an adjustment made by a Constituent Entity as a result of the application of a Qualified UTPR;
(d) A Disqualified Refundable Imputation Tax;
(e) Taxes paid by an insurance company in respect of returns to policyholders.";20;Impôts concernés;"1.Les impôts concernés d’une entité constitutive comprennent :
a)	les impôts enregistrés dans les états financiers d’une entité constitutive et qui se rapportent à son revenu ou à ses bénéfices ou à sa part du revenu ou des bénéfices d’une entité constitutive dans laquelle elle détient une participation;
b)	les impôts sur les bénéfices distribués, sur les bénéfices réputés avoir été distribués et sur les dépenses non liées à l’exploitation imposés selon un régime éligible d’imposition des distributions;
c)	les impôts perçus en lieu et place de l’impôt sur les bénéfices des sociétés généralement applicable; et
d)	les impôts prélevés sur les bénéfices non distribués et les fonds propres, y compris les impôts assis sur de multiples éléments basés sur les revenus et les fonds propres.

2.Les impôts concernés d’une entité constitutive n’englobent pas:
a)	l’impôt complémentaire dû par une entité mère au titre d’une RIR qualifiée;
b)	l’impôt complémentaire dû par une entité constitutive au titre d’un impôt national complémentaire qualifié;
c)	les impôts relatifs à un ajustement effectué par une entité constitutive en application d'une RBII qualifiée;
d)	l’impôt imputé remboursable non qualifié; et
e)	les impôts acquittés par une société d’assurance au titre des revenus attribués aux assurés.

3.Les impôts concernés au titre d’une plus-value ou moins-value nette résultant de la cession   d’actifs corporels locaux visés à l’article 16, paragraphe 7, premier alinéa, au cours de l’année fiscale durant laquelle l’option visée audit alinéa est exercée, sont exclus du calcul du montant des impôts concernés.";Covered tax;;223 VS à 223 VS ter;Impôt couvert;"Art. 223 VS. – Les impôts couverts d’une entité constitutive s’entendent : 
1° Des impôts comptabilisés dans ses états financiers dus au titre de ses bénéfices ou de sa part dans les bénéfices d’une autre entité constitutive qui lui est attribuée à raison de la participation qu’elle détient dans cette entité ; 
2° Des impôts sur les bénéfices distribués ou réputés distribués et sur les dépenses qui ne sont pas exposées dans l’intérêt de l’exploitation, établis selon un régime éligible d’imposition des distributions ; 
3° Des impôts perçus en lieu et place de l’impôt sur les bénéfices des sociétés généralement applicable ; 
4° Des impôts prélevés sur les bénéfices non distribués et sur les fonds propres, y compris les impôts assis sur des éléments relatifs aux bénéfices et aux fonds propres. 

Art. 223 VS bis. – Ne constituent pas des impôts couverts : 
1° L’impôt complémentaire dû par une entité constitutive au titre d’un impôt national complémentaire qualifié ; 
2° L’impôt complémentaire dû par une entité mère au titre de la règle d’inclusion du revenu qualifiée ; 
3° L’impôt complémentaire dû par une entité constitutive en application de la règle relative aux bénéfices insuffisamment imposés qualifiée ; 
4° Les impôts imputés remboursables non qualifiés ; 
5° Les impôts acquittés par une entreprise d’assurance au titre des revenus attribués aux assurés.

Art. 223 VS ter. – Sont exclus du calcul du montant des impôts couverts les impôts dus au titre d’une plus ou moins-value de cession d’actifs immobiliers situés dans le même État ou territoire que l’entité constitutive, réalisée durant l’exercice au titre duquel l’option mentionnée à l’article 223 VO decies est exercée."
10.1;Impôt imputé qualifié;"Un Impôt imputé qualifié désigne un Impôt concerné dû ou acquitté par une Entité constitutive, qui peut être remboursé ou crédité au bénéficiaire effectif de dividendes distribués par cette Entité constitutive (ou, dans le cas d’un Impôt concerné dû ou acquitté par un Établissement stable, de dividendes distribués par l’Entité principale), dès lors que le remboursement est dû, ou que le crédit est accordé : 
(a) par une juridiction autre que la juridiction qui prélève les Impôts concernés dans le cadre d’un régime de crédit d’impôt étranger ; 
(b) à un bénéficiaire effectif des dividendes, qui est imposé à un taux nominal supérieur ou égal au Taux minimum sur ces dividendes sur une base courante en vertu du droit interne de la juridiction qui soumet l’Entité constitutive aux Impôts concernés ; 
(c) à une personne physique bénéficiaire effectif des dividendes qui est résident fiscalement dans la juridiction qui soumet l’Entité constitutive aux Impôts concernés et qui est imposable sur les dividendes en tant que revenus ordinaires ; ou 
(d) à une Entité publique, une Organisation internationale, une Organisations à but non lucratif résidente, un Fonds de pension résident, une Entité d’investissement résidente qui n’est pas une Entité du groupe, ou une compagnie d'assurance vie résidente, dès lors que les dividendes sont perçus en lien avec une activité de fonds de pension et soumis à l'impôt de façon similaire à un dividende perçu par un Fonds de pension
. 
Aux fins du paragraphe (d), une Organisation à but non lucratif ou un Fonds de pension sont considérés comme résidents d’une juridiction s’ils sont constitués et gérés dans cette juridiction, et une Entité d’investissement est réputée être résidente d’une juridiction si elle est constituée et réglementée dans cette juridiction. Une compagnie d’assurance vie est résidente de la juridiction dans laquelle elle est située. ";Qualified imputation tax;"Qualified Imputation Tax means a Covered Tax accrued or paid by a Constituent Entity that is refundable or creditable to the beneficial owner of a dividend distributed by such Constituent Entity (or, in the case of a Covered Tax accrued or paid by a Permanent Establishment, a dividend distributed by the Main Entity) to the extent that the refund is payable, or the credit is provided: 
(a) by a jurisdiction other than the jurisdiction which imposed the Covered Taxes under a foreign tax credit regime; 
(b) to a beneficial owner of the dividend that is subject to tax at a nominal rate that equals or exceeds the Minimum Rate on the dividend on a current basis under the domestic law of the jurisdiction which imposed the Covered Taxes on the Constituent Entity; 
(c) to an individual beneficial owner of the dividend who is tax resident in the jurisdiction which imposed the Covered Taxes on the Constituent Entity and who is subject to tax on the dividends as ordinary income; or 
(d) to a Governmental Entity, an International Organisation, a resident Non-profit Organisation, a resident Pension Fund, a resident Investment Entity that is not a Group Entity, or a resident life insurance company to the extent that the dividends are received in connection with a pension fund business and subject to tax in a similar manner as a dividend received by Pension Fund. 

For purposes of paragraph (d), a Non-Profit Organisation or Pension Fund is resident in a jurisdiction if it is created and managed in that jurisdiction, and an Investment Entity is resident in a jurisdiction if it is created and regulated in the jurisdiction. A life insurance company is resident in the jurisdiction in which it is located. ";3, 37;Impôt imputé qualifié;"Aux fins de la présente définition [impôt imputé remboursable non qualifié], on entend par «impôt imputé qualifié» un impôt concerné dû ou acquitté par une entité constitutive, y compris un établissement stable, qui peut être remboursé ou crédité au bénéficiaire des dividendes distribués par l’entité constitutive ou, dans le cas d’un impôt concerné dû ou acquitté par un établissement stable, des dividendes distribués par l’entité principale, dans la mesure où le remboursement est dû, ou que le crédit est accordé:
a) par une juridiction autre que la juridiction qui prélève les impôts concernés;
b) à un bénéficiaire effectif des dividendes imposés à un taux nominal égal ou supérieur au taux minimum d’imposition applicable aux dividendes perçus en vertu de la législation nationale de la juridiction qui soumet l’entité constitutive aux impôts concernés;
c) à une personne physique qui est le bénéficiaire effectif des dividendes, qui a sa résidence fiscale dans la juridiction qui soumet l’entité constitutive aux impôts concernés et qui est imposable à un taux nominal égal ou supérieur au taux normal d’imposition applicable au revenu ordinaire; ou
d) à une entité publique, une organisation internationale, une organisation à but non lucratif résidente, un fonds de pension résident, une entité d’investissement résidente qui ne fait pas partie du groupe d’EMN ou du groupe national de grande envergure, ou une compagnie d’assurance vie résidente dans la mesure où les dividendes sont perçus en lien avec les activités d’un fonds de pension résident et sont soumis à l’impôt d’une manière similaire à un dividende reçu par un fonds de pension.

Aux fins du point d):
i) un fonds de pension ou une organisation à but non lucratif est résident(e) dans une juridiction s’il ou elle est créé(e) et géré(e) dans cette juridiction;
ii) une entité d’investissement est résidente dans une juridiction si elle est créée et réglementée dans cette juridiction;
iii) une compagnie d’assurance vie est résidente dans la juridiction où elle est située;";Qualified imputation tax;"For the purposes of this definition [Disqualified refundable imputation tax], a ‘qualified imputation tax’ means a covered tax accrued or paid by a constituent entity, including a permanent establishment, that is refundable or creditable to the beneficial owner of the dividend distributed by the constituent entity or, in the case of a covered tax accrued or paid by a permanent establishment, a dividend distributed by the main entity, to the extent that the refund is payable or the credit is provided:
(a) by a jurisdiction other than the jurisdiction which imposed the covered taxes;
(b) to a beneficial owner of the dividend that is subject to tax at a nominal rate that equals or exceeds the minimum tax rate on the dividend received under the domestic law of the jurisdiction which imposed the covered taxes on the constituent entity;
(c) to an individual who is the beneficial owner of the dividend and tax resident in the jurisdiction which imposed the covered taxes on the constituent entity and who is subject to tax at a nominal rate that equals or exceeds the standard tax rate applicable to ordinary income; or
(d) to a governmental entity, an international organisation, a resident non-profit organisation, a resident pension fund, a resident investment entity that is not part of the MNE group or the large-scale domestic group, or a resident life insurance company to the extent that the dividend is received in connection with resident pension fund activities and is subject to tax in a similar manner as a dividend received by a pension fund;

For the purposes of point (d):
(i) a non-profit organisation or pension fund is resident in a jurisdiction if it is created and managed in that jurisdiction;
(ii) an investment entity is resident in a jurisdiction if it is created and regulated in that jurisdiction;
(iii) a life insurance company is resident in the jurisdiction in which it is located;";223 VK, 30°;Impôt imputé qualifié;"On entend par impôt imputé qualifié un impôt couvert au sens du paragraphe 1 de la sous-section 2 de la section III dû ou acquitté par une entité constitutive, y compris un établissement stable, qui peut être remboursé ou crédité au bénéficiaire des dividendes distribués par l’entité constitutive ou, dans le cas d’un impôt couvert dû ou acquitté par un établissement stable, des dividendes distribués par le siège, dans la mesure où le remboursement est dû ou que le crédit est accordé : 
a) Par un État ou territoire autre que celui qui prélève les impôts couverts ; 
b) A un bénéficiaire effectif des dividendes imposés à un taux nominal égal ou supérieur au taux minimum d’imposition applicable aux dividendes perçus en vertu de la législation nationale de l’État ou territoire qui soumet l’entité constitutive aux impôts couverts ; 
c) A une personne physique qui est le bénéficiaire effectif des dividendes, qui a sa résidence fiscale dans l’État ou territoire qui soumet l’entité constitutive aux impôts couverts et qui est imposable à un taux nominal égal ou supérieur au taux normal d’imposition applicable au revenu ordinaire ; 
d) Ou à une entité publique, une organisation internationale, une organisation à but non lucratif résidente, un fonds de pension résident, une entité d’investissement résidente qui ne fait pas partie du groupe d’entreprises multinationales ou d’un groupe national, ou une entreprise d’assurance vie résidente, dans la mesure où les dividendes sont perçus en lien avec les activités d’un fonds de pension résident et sont soumis à l’impôt d’une manière similaire à un dividende reçu par un fonds de pension. 

Aux fins du présent d : 
i) Un fonds de pension ou une organisation à but non lucratif est résident de l’État ou territoire dans lequel il est créé et géré ; 
ii) Une entité d’investissement est résidente dans un État ou territoire dans lequel elle est créée et réglementée ; 
iii) Une entreprise d’assurance vie est résidente de l’État ou territoire dans lequel elle est située ;"
10.1;Impôt imputé remboursable non qualifié;"L’Impôt imputé remboursable non qualifié désigne tout montant d’impôt, autre qu’un Impôt imputé qualifié, dû ou acquitté par une Entité constitutive qui est :
(a) remboursable au bénéficiaire effectif d’un dividende distribué par cette Entité constitutive au titre de ce dividende ou imputable par le bénéficiaire effectif sur un impôt dû autre qu’un impôt à payer au titre de ce dividende ; ou
(b) remboursable à la société effectuant la distribution, lors de la distribution d’un dividende.";Disqualified refundable imputation tax;"Disqualified Refundable Imputation Tax means any amount of Tax, other than a Qualified Imputation Tax, accrued or paid by a Constituent Entity that is:
(a) refundable to the beneficial owner of a dividend distributed by such Constituent Entity in respect of that dividend or creditable by the beneficial owner against a tax liability other than a tax liability in respect of such dividend; or
(b) refundable to the distributing corporation upon distribution of a dividend.";3, 37;Impôt imputé remboursable non qualifié;"Tout impôt, autre qu’un impôt imputé qualifié, dû ou acquitté par une entité constitutive qui est:
a) remboursable au bénéficiaire effectif d’un dividende distribué par cette entité constitutive au titre de ce dividende ou imputable par le bénéficiaire effectif sur un impôt dû autre qu’un impôt à payer au titre de ce dividende ; ou
b) remboursable à la société effectuant la distribution, lors de la distribution d’un dividende à un actionnaire.";Disqualified refundable imputation tax;"Any tax, other than a qualified imputation tax, accrued or paid by a constituent entity that is:
(a) refundable to the beneficial owner of a dividend distributed by such constituent entity in respect of that dividend or creditable by the beneficial owner against a tax liability other than a tax liability in respect of such dividend; or
(b) refundable to the distributing company upon distribution of a dividend to a shareholder;";223 VK, 30°;Impôt imputé remboursable non qualifié;"Un impôt, autre qu’un impôt imputé qualifié, dû ou acquitté par une entité constitutive et qui est : 
i) Remboursable au bénéficiaire effectif d’un dividende distribué par cette entité constitutive au titre de ce dividende ou imputable par le bénéficiaire effectif sur un impôt dû autre qu’un impôt dû au titre de ce dividende ; 
ii) Ou remboursable à la société effectuant la distribution, lors de la distribution d’un dividende à un actionnaire. "
